genes	t	S	N	dNdS	dN	dS
XP_015768263.1_aten_0.1.m1.18913.m1	0.1169	548.4	1455.6	0.2553	0.0217	0.0849
XP_015768264.1_aten_0.1.m1.18920.m1	0.0716	330.6	707.4	0.1901	0.0101	0.0533
XP_015768270.1_aten_0.1.m1.5597.m1	0.3219	391.9	1384.1	0.3966	0.0803	0.2025
XP_015768272.1_aten_0.1.m1.18918.m1	0.0987	223.4	727.6	0.0451	0.0055	0.1221
XP_015768275.1_aten_0.1.m1.18922.m1	0.3604	96.7	446.3	0.2402	0.0768	0.3199
XP_015768278.1_aten_0.1.m1.18919.m1	0.1903	158.9	450.1	0.2530	0.0358	0.1416
XP_015768280.1_aten_0.1.m1.16179.m1	2.5832	98.2	321.8	0.2944	0.5518	1.8745
XP_015768284.1_aten_0.1.m1.18932.m1	0.0793	127.1	418.9	0.0952	0.0082	0.0864
XP_015768288.1_aten_0.1.m1.18939.m1	0.1077	654.8	1859.2	0.1895	0.0170	0.0896
XP_015768290.1_aten_0.1.m1.18945.m1	0.1396	156.0	402.0	0.5525	0.0380	0.0687
XP_015768292.1_aten_0.1.m1.5604.m1	0.2379	148.4	424.6	0.6202	0.0685	0.1104
XP_015768302.1_aten_0.1.m1.18934.m1	0.3440	158.1	522.9	0.4618	0.0903	0.1954
XP_015768325.1_aten_0.1.m1.7866.m1	0.1179	249.6	662.4	0.0480	0.0061	0.1274
XP_015768330.1_aten_0.1.m1.6880.m1	0.5927	254.2	843.8	0.4935	0.1596	0.3235
XP_015768332.1_aten_0.1.m1.6876.m1	0.2674	283.6	937.4	0.2659	0.0543	0.2042
XP_015768333.1_aten_0.1.m1.5691.m1	0.3726	178.6	655.4	0.3857	0.0926	0.2401
XP_015768337.1_aten_0.1.m1.13999.m1	0.2146	588.0	2049.0	0.2440	0.0423	0.1734
XP_015768351.1_aten_0.1.m1.6870.m1	0.6634	92.7	279.3	0.5156	0.1792	0.3475
XP_015768353.1_aten_0.1.m1.6879.m1	0.1244	405.6	1055.4	0.0974	0.0116	0.1191
XP_015768363.1_aten_0.1.m1.13997.m1	0.0878	302.2	807.8	0.3681	0.0199	0.0542
XP_015768364.1_aten_0.1.m1.36899.m1	0.1230	654.9	1769.1	0.3678	0.0280	0.0761
XP_015768366.1_aten_0.1.m1.6868.m1	0.2152	229.7	667.3	0.5021	0.0572	0.1139
XP_015768368.1_aten_0.1.m1.13992.m1	0.0863	121.3	397.7	0.1589	0.0129	0.0809
XP_015768372.1_aten_0.1.m1.4370.m1	0.2947	264.0	819.0	0.3792	0.0702	0.1852
XP_015768383.1_aten_0.1.m1.5667.m1	0.3677	732.2	2561.8	0.5652	0.1047	0.1852
XP_015768397.1_aten_0.1.m1.14366.m1	0.1403	257.1	825.9	0.2480	0.0272	0.1096
XP_015768408.1_aten_0.1.m1.157.m1	0.0890	1710.2	4556.8	0.1514	0.0117	0.0775
XP_015768409.1_aten_0.1.m1.159.m1	0.1906	608.0	2089.0	0.4371	0.0492	0.1127
XP_015768410.1_aten_0.1.m1.151.m1	0.1489	1128.1	3641.9	0.2818	0.0310	0.1099
XP_015768420.1_aten_0.1.m1.17625.m1	0.1332	341.4	1251.6	0.0757	0.0123	0.1622
XP_015768429.1_aten_0.1.m1.155.m1	0.0617	140.1	363.9	0.0010	0.0001	0.0738
XP_015768431.1_aten_0.1.m1.17619.m1	0.1791	338.1	876.9	0.1446	0.0226	0.1560
XP_015768438.1_aten_0.1.m1.158.m1	0.1400	1200.7	3278.3	0.6795	0.0414	0.0610
XP_015768441.1_aten_0.1.m1.17624.m1	0.1225	265.1	637.9	0.2421	0.0213	0.0879
XP_015768443.1_aten_0.1.m1.149.m1	0.1265	122.9	450.1	0.1126	0.0157	0.1391
XP_015768444.1_aten_0.1.m1.152.m1	0.0877	151.8	382.2	0.3541	0.0192	0.0543
XP_015768447.1_aten_0.1.m1.1444.m1	0.2539	185.8	654.2	0.2613	0.0521	0.1993
XP_015768448.1_aten_0.1.m1.1446.m1	0.3000	144.6	464.4	0.4061	0.0742	0.1828
XP_015768449.1_aten_0.1.m1.1449.m1	0.2345	345.3	1463.7	0.2548	0.0502	0.1968
XP_015768452.1_aten_0.1.m1.17618.m1	0.0817	208.1	724.9	0.1609	0.0126	0.0782
XP_015768453.1_aten_0.1.m1.1458.m1	0.1852	160.0	548.0	0.3565	0.0439	0.1230
XP_015768460.1_aten_0.1.m1.1474.m1	0.3410	357.5	1319.5	0.4841	0.0926	0.1914
XP_015768461.1_aten_0.1.m1.1457.m1	0.0645	204.1	491.9	0.0636	0.0040	0.0636
XP_015768472.1_aten_0.1.m1.1447.m1	0.0633	250.5	616.5	0.2533	0.0114	0.0450
XP_015768480.1_aten_0.1.m1.1440.m1	0.0672	296.5	627.5	0.1155	0.0065	0.0561
XP_015768486.1_aten_0.1.m1.1463.m1	0.0262	209.4	369.6	0.0010	0.0000	0.0241
XP_015768489.1_aten_0.1.m1.1461.m1	0.0999	220.0	611.0	0.3308	0.0217	0.0655
XP_015768498.1_aten_0.1.m1.4302.m1	0.2484	421.5	925.5	0.6989	0.0730	0.1044
XP_015768499.1_aten_0.1.m1.4303.m1	0.2750	231.6	749.4	0.3545	0.0641	0.1808
XP_015768505.1_aten_0.1.m1.22536.m1	0.1432	533.4	1551.6	0.3325	0.0315	0.0948
XP_015768529.1_aten_0.1.m1.4294.m1	0.1153	165.5	458.5	0.1234	0.0133	0.1080
XP_015768530.1_aten_0.1.m1.4297.m1	0.2678	120.4	383.6	0.2290	0.0495	0.2161
XP_015768536.1_aten_0.1.m1.4305.m1	0.1520	247.9	700.1	0.2104	0.0256	0.1215
XP_015768543.1_aten_0.1.m1.17622.m1	0.0975	220.5	625.5	0.2867	0.0197	0.0687
XP_015768544.1_aten_0.1.m1.4284.m1	0.2239	388.2	1222.8	0.3751	0.0533	0.1420
XP_015768550.1_aten_0.1.m1.13362.m1	0.2409	319.2	889.8	0.4661	0.0617	0.1323
XP_015768554.1_aten_0.1.m1.13322.m1	0.2709	981.3	3125.7	0.3513	0.0627	0.1784
XP_015768559.1_aten_0.1.m1.13342.m1	0.1118	527.5	1392.5	0.4134	0.0268	0.0649
XP_015768560.1_aten_0.1.m1.13352.m1	0.1410	466.6	1489.4	0.3812	0.0339	0.0889
XP_015768565.1_aten_0.1.m1.13347.m1	0.1350	442.5	1234.5	0.1949	0.0215	0.1105
XP_015768571.1_aten_0.1.m1.13348.m1	0.2702	284.6	912.4	0.3804	0.0649	0.1707
XP_015768572.1_aten_0.1.m1.13350.m1	0.1548	133.0	419.0	0.1236	0.0191	0.1541
XP_015768579.1_aten_0.1.m1.13368.m1	0.1126	285.7	911.3	0.0710	0.0091	0.1282
XP_015768580.1_aten_0.1.m1.13386.m1	0.1766	232.4	739.6	0.2321	0.0329	0.1416
XP_015768595.1_aten_0.1.m1.13375.m1	0.1314	289.9	757.1	0.4419	0.0325	0.0734
XP_015768604.1_aten_0.1.m1.13356.m1	0.1242	277.6	688.4	0.4681	0.0312	0.0667
XP_015768608.1_aten_0.1.m1.13360.m1	0.4235	185.1	570.9	0.4317	0.1068	0.2473
XP_015768609.1_aten_0.1.m1.13363.m1	0.0842	105.4	413.6	0.0952	0.0096	0.1006
XP_015768611.1_aten_0.1.m1.13366.m1	0.0844	141.1	527.9	0.1606	0.0134	0.0833
XP_015768612.1_aten_0.1.m1.13359.m1	0.1117	295.2	862.8	0.1671	0.0164	0.0982
XP_015768613.1_aten_0.1.m1.13333.m1	0.0724	324.2	809.8	0.1679	0.0100	0.0594
XP_015768615.1_aten_0.1.m1.13378.m1	0.1306	227.5	591.5	0.4771	0.0334	0.0699
XP_015768617.1_aten_0.1.m1.12.m1	0.0506	421.1	1432.9	0.2775	0.0106	0.0382
XP_015768618.1_aten_0.1.m1.8.m1	0.1203	67.0	233.0	0.1441	0.0172	0.1197
XP_015768619.1_aten_0.1.m1.13.m1	0.2373	324.2	1022.8	0.6069	0.0684	0.1128
XP_015768620.1_aten_0.1.m1.15.m1	0.2245	268.9	841.1	0.5329	0.0617	0.1158
XP_015768623.1_aten_0.1.m1.26.m1	0.1360	669.6	1955.4	0.2907	0.0279	0.0961
XP_015768624.1_aten_0.1.m1.35.m1	0.2159	166.6	640.4	0.4054	0.0552	0.1362
XP_015768630.1_aten_0.1.m1.30.m1	0.1229	1081.5	3094.5	0.3146	0.0262	0.0833
XP_015768634.1_aten_0.1.m1.19.m1	0.0989	592.1	1684.9	0.2401	0.0181	0.0753
XP_015768639.1_aten_0.1.m1.48.m1	0.0880	396.5	1043.5	0.1700	0.0125	0.0736
XP_015768648.1_aten_0.1.m1.33.m1	0.1243	913.5	2908.5	0.3714	0.0295	0.0795
XP_015768649.1_aten_0.1.m1.36.m1	0.1439	222.9	731.1	0.4216	0.0363	0.0862
XP_015768661.1_aten_0.1.m1.22.m1	0.0580	298.2	709.8	0.0482	0.0028	0.0586
XP_015768663.1_aten_0.1.m1.21.m1	0.1338	76.7	235.3	0.3601	0.0310	0.0862
XP_015768664.1_aten_0.1.m1.2.m1	0.0691	113.3	390.7	0.3128	0.0154	0.0493
XP_015768665.1_aten_0.1.m1.10.m1	0.2459	170.8	531.2	0.5764	0.0695	0.1207
XP_015768674.1_aten_0.1.m1.31.m1	0.1172	739.5	2053.5	0.5941	0.0331	0.0557
XP_015768675.1_aten_0.1.m1.24.m1	0.0754	247.1	922.9	0.1400	0.0109	0.0782
XP_015768680.1_aten_0.1.m1.32236.m1	0.1860	700.0	1844.0	0.3027	0.0379	0.1253
XP_015768685.1_aten_0.1.m1.32248.m1	0.2412	435.5	1379.5	0.3658	0.0568	0.1552
XP_015768695.1_aten_0.1.m1.32252.m1	0.1261	214.8	622.2	0.1394	0.0163	0.1167
XP_015768697.1_aten_0.1.m1.32240.m1	0.1312	380.3	1080.7	0.2169	0.0225	0.1039
XP_015768698.1_aten_0.1.m1.32249.m1	0.2176	298.5	877.5	0.4126	0.0533	0.1291
XP_015768699.1_aten_0.1.m1.32243.m1	0.0965	272.2	702.8	0.0753	0.0073	0.0965
XP_015768702.1_aten_0.1.m1.32238.m1	0.1544	213.2	638.8	0.1137	0.0174	0.1534
XP_015768703.1_aten_0.1.m1.32242.m1	0.2222	225.2	596.8	0.3470	0.0489	0.1409
XP_015768741.1_aten_0.1.m1.625.m1	0.2187	123.7	401.3	0.3823	0.0528	0.1381
XP_015768742.1_aten_0.1.m1.632.m1	0.2302	643.8	2092.2	0.4095	0.0573	0.1399
XP_015768744.1_aten_0.1.m1.634.m1	0.2999	689.9	2367.1	0.3412	0.0696	0.2041
XP_015768753.1_aten_0.1.m1.630.m1	0.0721	175.7	511.3	0.4389	0.0181	0.0413
XP_015768757.1_aten_0.1.m1.626.m1	0.2376	307.0	1037.0	0.4633	0.0626	0.1352
XP_015768766.1_aten_0.1.m1.627.m1	0.1277	1215.0	3243.0	0.2456	0.0232	0.0944
XP_015768818.1_aten_0.1.m1.5556.m1	0.1436	246.7	728.3	0.2840	0.0292	0.1029
XP_015768854.1_aten_0.1.m1.7351.m1	0.1789	463.4	1696.6	0.2473	0.0361	0.1458
XP_015768857.1_aten_0.1.m1.7350.m1	0.2079	233.1	768.9	0.2835	0.0437	0.1540
XP_015768859.1_aten_0.1.m1.7373.m1	0.5722	208.5	757.5	0.4236	0.1474	0.3480
XP_015768863.1_aten_0.1.m1.5565.m1	0.1475	359.8	1044.2	0.2497	0.0278	0.1112
XP_015768865.1_aten_0.1.m1.7355.m1	0.1401	344.6	1167.4	0.1564	0.0209	0.1340
XP_015768867.1_aten_0.1.m1.7359.m1	0.1440	404.7	1029.3	0.3045	0.0292	0.0958
XP_015768868.1_aten_0.1.m1.7360.m1	0.1049	329.8	945.2	0.2703	0.0206	0.0762
XP_015768875.1_aten_0.1.m1.7362.m1	0.0874	241.7	709.3	0.2275	0.0156	0.0687
XP_015768878.1_aten_0.1.m1.7353.m1	0.1091	179.8	516.2	0.4311	0.0271	0.0629
XP_015768879.1_aten_0.1.m1.7361.m1	0.0903	155.2	459.8	0.0191	0.0022	0.1128
XP_015768880.1_aten_0.1.m1.7354.m1	0.4605	107.4	321.6	0.6749	0.1370	0.2030
XP_015768888.1_aten_0.1.m1.5566.m1	0.1366	146.3	444.7	0.1423	0.0183	0.1284
XP_015768896.1_aten_0.1.m1.7344.m1	0.4372	480.9	1472.1	0.4487	0.1119	0.2494
XP_015768910.1_aten_0.1.m1.7371.m1	0.1033	714.1	1880.9	0.2674	0.0196	0.0734
XP_015768943.1_aten_0.1.m1.7936.m1	0.6736	712.8	2389.2	0.7326	0.2072	0.2828
XP_015768946.1_aten_0.1.m1.34327.m1	0.1393	724.1	1915.9	0.2857	0.0275	0.0964
XP_015768961.1_aten_0.1.m1.25761.m1	0.4817	66.1	251.9	0.6517	0.1445	0.2218
XP_015768962.1_aten_0.1.m1.25757.m1	0.1627	557.6	1782.4	0.4210	0.0408	0.0970
XP_015768965.1_aten_0.1.m1.25740.m1	0.1540	223.0	695.0	0.3467	0.0352	0.1016
XP_015768969.1_aten_0.1.m1.25738.m1	0.4805	162.5	563.5	0.9096	0.1567	0.1723
XP_015768970.1_aten_0.1.m1.25735.m1	0.2645	769.0	2507.0	0.2949	0.0565	0.1915
XP_015768972.1_aten_0.1.m1.25750.m1	0.1115	318.0	888.0	0.2802	0.0222	0.0791
XP_015768973.1_aten_0.1.m1.25743.m1	0.1238	249.4	911.6	0.3083	0.0279	0.0903
XP_015768975.1_aten_0.1.m1.25751.m1	0.1149	263.4	834.6	0.4614	0.0299	0.0648
XP_015768980.1_aten_0.1.m1.25745.m1	0.0890	80.5	231.5	0.4298	0.0221	0.0514
XP_015768982.1_aten_0.1.m1.25744.m1	0.4170	51.1	209.9	0.5473	0.1196	0.2186
XP_015768991.1_aten_0.1.m1.25753.m1	0.0486	128.3	396.7	0.0430	0.0025	0.0586
XP_015768999.1_aten_0.1.m1.25725.m1	0.1588	1064.2	3027.8	0.4725	0.0410	0.0868
XP_015769009.1_aten_0.1.m1.23527.m1	0.1502	261.2	707.8	0.1099	0.0157	0.1431
XP_015769015.1_aten_0.1.m1.20791.m1	0.2418	432.5	1385.5	0.2031	0.0417	0.2052
XP_015769018.1_aten_0.1.m1.20788.m1	0.3726	229.9	727.1	0.4968	0.0999	0.2011
XP_015769019.1_aten_0.1.m1.20783.m1	0.0853	244.1	643.9	0.2568	0.0158	0.0616
XP_015769025.1_aten_0.1.m1.20773.m1	0.1012	317.6	774.4	0.3479	0.0218	0.0628
XP_015769026.1_aten_0.1.m1.20770.m1	0.1109	736.0	2072.0	0.3178	0.0237	0.0745
XP_015769035.1_aten_0.1.m1.20776.m1	0.2669	92.7	327.3	0.4005	0.0669	0.1670
XP_015769036.1_aten_0.1.m1.20781.m1	0.1388	514.0	1451.0	0.3891	0.0328	0.0843
XP_015769039.1_aten_0.1.m1.5573.m1	0.2452	216.8	695.2	0.2372	0.0463	0.1953
XP_015769048.1_aten_0.1.m1.20760.m1	0.1289	380.6	1071.4	0.2639	0.0248	0.0941
XP_015769049.1_aten_0.1.m1.20787.m1	0.1452	244.6	754.4	0.2443	0.0275	0.1127
XP_015769050.1_aten_0.1.m1.20782.m1	0.0893	161.5	396.5	0.0564	0.0051	0.0903
XP_015769053.1_aten_0.1.m1.20771.m1	0.1813	733.7	2050.3	0.5750	0.0506	0.0880
XP_015769061.1_aten_0.1.m1.8896.m1	0.2784	431.9	1305.1	0.5382	0.0765	0.1421
XP_015769067.1_aten_0.1.m1.28323.m1	0.3890	619.5	1912.5	0.4453	0.0994	0.2232
XP_015769098.1_aten_0.1.m1.4230.m1	0.1708	186.8	575.2	0.6171	0.0494	0.0801
XP_015769099.1_aten_0.1.m1.4224.m1	0.2826	649.5	1966.5	0.3554	0.0649	0.1827
XP_015769101.1_aten_0.1.m1.4234.m1	0.0842	211.3	610.7	0.3643	0.0194	0.0532
XP_015769104.1_aten_0.1.m1.4243.m1	0.1176	416.2	1299.8	0.1195	0.0141	0.1177
XP_015769105.1_aten_0.1.m1.4242.m1	0.2229	284.5	696.5	0.2817	0.0427	0.1516
XP_015769112.1_aten_0.1.m1.4227.m1	0.2584	113.8	357.2	0.3657	0.0607	0.1660
XP_015769113.1_aten_0.1.m1.4232.m1	0.1478	203.7	816.3	0.4629	0.0400	0.0864
XP_015769114.1_aten_0.1.m1.4238.m1	0.1465	242.0	733.0	0.3457	0.0332	0.0961
XP_015769116.1_aten_0.1.m1.4239.m1	0.1303	164.1	489.9	0.6442	0.0381	0.0592
XP_015769122.1_aten_0.1.m1.4228.m1	0.2605	302.2	843.8	0.3779	0.0605	0.1602
XP_015769129.1_aten_0.1.m1.4241.m1	0.1034	306.1	761.9	0.3387	0.0221	0.0653
XP_015769131.1_aten_0.1.m1.3867.m1	0.8759	266.9	921.1	0.4694	0.2328	0.4961
XP_015769132.1_aten_0.1.m1.3872.m1	0.0939	120.6	272.4	1.2655	0.0335	0.0264
XP_015769133.1_aten_0.1.m1.3861.m1	0.1407	88.5	292.5	0.4176	0.0354	0.0849
XP_015769134.1_aten_0.1.m1.3864.m1	0.1033	121.7	424.3	0.4175	0.0263	0.0629
XP_015769142.1_aten_0.1.m1.3850.m1	0.1885	344.2	891.8	0.2735	0.0361	0.1321
XP_015769144.1_aten_0.1.m1.3845.m1	0.1065	343.4	967.6	0.1933	0.0170	0.0877
XP_015769148.1_aten_0.1.m1.3862.m1	0.0744	149.6	357.4	0.3779	0.0167	0.0441
XP_015769149.1_aten_0.1.m1.3866.m1	0.1288	103.0	338.0	0.0821	0.0119	0.1449
XP_015769152.1_aten_0.1.m1.3871.m1	0.1210	122.5	420.5	0.3758	0.0293	0.0780
XP_015769153.1_aten_0.1.m1.3870.m1	0.2007	146.5	408.5	0.4581	0.0510	0.1113
XP_015769164.1_aten_0.1.m1.3853.m1	0.1458	217.8	526.2	0.1630	0.0194	0.1191
XP_015769166.1_aten_0.1.m1.3854.m1	0.1307	312.0	834.0	0.2828	0.0258	0.0911
XP_015769171.1_aten_0.1.m1.3878.m1	0.1439	484.4	1483.6	0.5557	0.0401	0.0721
XP_015769182.1_aten_0.1.m1.30530.m1	0.2361	824.4	2637.6	0.4095	0.0586	0.1430
XP_015769185.1_aten_0.1.m1.30507.m1	0.5535	143.8	471.2	0.8036	0.1745	0.2172
XP_015769187.1_aten_0.1.m1.5584.m1	0.1678	205.3	547.7	0.2701	0.0322	0.1192
XP_015769188.1_aten_0.1.m1.30505.m1	0.2495	435.6	1655.4	0.4535	0.0665	0.1466
XP_015769189.1_aten_0.1.m1.30513.m1	0.1316	2163.3	5348.7	0.2529	0.0237	0.0937
XP_015769190.1_aten_0.1.m1.30494.m1	0.0511	195.3	578.7	0.0010	0.0001	0.0673
XP_015769192.1_aten_0.1.m1.30483.m1	0.2612	289.0	1034.0	0.5970	0.0759	0.1271
XP_015769197.1_aten_0.1.m1.30501.m1	0.0925	120.3	299.7	0.1923	0.0140	0.0728
XP_015769198.1_aten_0.1.m1.5588.m1	0.1356	421.4	1174.6	0.1749	0.0201	0.1151
XP_015769199.1_aten_0.1.m1.30492.m1	0.2575	681.8	2060.2	0.6141	0.0742	0.1209
XP_015769200.1_aten_0.1.m1.30508.m1	0.1018	327.3	968.7	0.1992	0.0168	0.0845
XP_015769203.1_aten_0.1.m1.30495.m1	0.1030	307.3	823.7	0.1919	0.0160	0.0835
XP_015769209.1_aten_0.1.m1.30510.m1	0.2123	142.2	403.8	0.8455	0.0676	0.0799
XP_015769211.1_aten_0.1.m1.30516.m1	0.1703	100.2	328.8	0.2642	0.0344	0.1302
XP_015769212.1_aten_0.1.m1.30511.m1	0.0589	90.9	257.1	0.0010	0.0001	0.0749
XP_015769213.1_aten_0.1.m1.30500.m1	0.0620	59.5	231.5	0.0010	0.0001	0.1006
XP_015769214.1_aten_0.1.m1.30498.m1	0.1448	332.0	853.0	0.3215	0.0303	0.0944
XP_015769221.1_aten_0.1.m1.30497.m1	0.0383	274.4	712.6	0.0330	0.0014	0.0423
XP_015769226.1_aten_0.1.m1.30486.m1	0.1828	152.6	444.4	0.2455	0.0341	0.1390
XP_015769232.1_aten_0.1.m1.30529.m1	0.1302	375.0	1347.0	0.2212	0.0246	0.1110
XP_015769240.1_aten_0.1.m1.30527.m1	0.1205	299.9	780.1	0.2430	0.0215	0.0886
XP_015769243.1_aten_0.1.m1.30532.m1	0.1321	303.0	681.0	0.3627	0.0286	0.0787
XP_015769244.1_aten_0.1.m1.30517.m1	0.0758	538.9	1660.1	0.2147	0.0133	0.0621
XP_015769246.1_aten_0.1.m1.30524.m1	0.0554	360.6	1037.4	0.1315	0.0068	0.0520
XP_015769247.1_aten_0.1.m1.30528.m1	0.2851	267.5	761.5	0.3012	0.0593	0.1968
XP_015769259.1_aten_0.1.m1.30531.m1	0.0824	200.4	648.6	0.3302	0.0186	0.0562
XP_015769262.1_aten_0.1.m1.30526.m1	0.1727	94.3	229.7	0.4436	0.0422	0.0951
XP_015769264.1_aten_0.1.m1.30489.m1	0.1060	227.6	642.4	0.3459	0.0236	0.0683
XP_015769265.1_aten_0.1.m1.30481.m1	0.0542	191.9	567.1	0.0969	0.0054	0.0555
XP_015769267.1_aten_0.1.m1.30499.m1	0.1288	663.9	1904.1	0.5849	0.0363	0.0620
XP_015769275.1_aten_0.1.m1.5603.m1	0.1342	140.1	387.9	0.2764	0.0264	0.0955
XP_015769285.1_aten_0.1.m1.5600.m1	0.1112	425.4	1068.6	0.1268	0.0125	0.0987
XP_015769289.1_aten_0.1.m1.1303.m1	0.5451	195.5	632.5	0.3714	0.1298	0.3495
XP_015769290.1_aten_0.1.m1.1302.m1	0.0998	158.2	477.8	0.4687	0.0259	0.0554
XP_015769292.1_aten_0.1.m1.1312.m1	0.1160	193.6	481.4	0.2582	0.0212	0.0821
XP_015769302.1_aten_0.1.m1.5602.m1	0.0856	439.2	1246.8	0.2651	0.0166	0.0625
XP_015769304.1_aten_0.1.m1.36610.m1	0.1372	1130.1	3000.9	0.4191	0.0332	0.0791
XP_015769311.1_aten_0.1.m1.5606.m1	0.3230	163.2	556.8	0.7887	0.1015	0.1287
XP_015769315.1_aten_0.1.m1.36635.m1	0.7372	363.9	1274.1	0.4620	0.1952	0.4225
XP_015769316.1_aten_0.1.m1.36647.m1	0.4066	198.4	734.6	0.3105	0.0921	0.2965
XP_015769317.1_aten_0.1.m1.36643.m1	0.3314	224.7	684.3	0.6360	0.0968	0.1522
XP_015769319.1_aten_0.1.m1.36642.m1	0.1320	923.6	2655.4	0.3351	0.0291	0.0869
XP_015769333.1_aten_0.1.m1.36619.m1	0.1814	197.2	489.8	1.0648	0.0615	0.0578
XP_015769342.1_aten_0.1.m1.36640.m1	0.3880	134.5	342.5	3.0100	0.1593	0.0529
XP_015769343.1_aten_0.1.m1.36644.m1	0.1414	261.8	929.2	0.2547	0.0287	0.1126
XP_015769344.1_aten_0.1.m1.14912.m1	0.1906	521.9	1791.1	0.3071	0.0421	0.1371
XP_015769349.1_aten_0.1.m1.36637.m1	0.2510	335.5	873.5	0.4599	0.0631	0.1372
XP_015769351.1_aten_0.1.m1.36633.m1	0.0873	512.3	1416.7	0.3518	0.0195	0.0555
XP_015769356.1_aten_0.1.m1.5608.m1	0.1081	115.6	298.4	0.2866	0.0213	0.0742
XP_015769386.1_aten_0.1.m1.22214.m1	0.1150	224.9	846.1	0.0552	0.0083	0.1512
XP_015769388.1_aten_0.1.m1.22228.m1	0.0513	240.7	686.3	0.1183	0.0058	0.0493
XP_015769394.1_aten_0.1.m1.5716.m1	0.1224	921.0	2823.0	0.2659	0.0243	0.0914
XP_015769400.1_aten_0.1.m1.22231.m1	0.2465	710.2	2532.8	0.4534	0.0650	0.1434
XP_015769402.1_aten_0.1.m1.22230.m1	0.1929	700.3	2206.7	0.7524	0.0596	0.0792
XP_015769403.1_aten_0.1.m1.22232.m1	0.0626	72.5	272.5	0.6397	0.0187	0.0292
XP_015769404.1_aten_0.1.m1.36525.m1	0.1104	414.4	1172.6	0.1261	0.0131	0.1038
XP_015769405.1_aten_0.1.m1.22237.m1	0.1219	744.4	2579.6	0.1829	0.0203	0.1111
XP_015769409.1_aten_0.1.m1.22249.m1	0.1599	246.9	803.1	0.2225	0.0293	0.1315
XP_015769410.1_aten_0.1.m1.36876.m1	0.1696	114.3	500.7	0.2740	0.0379	0.1382
XP_015769416.1_aten_0.1.m1.22251.m1	0.0847	289.8	1105.2	0.0292	0.0036	0.1223
XP_015769417.1_aten_0.1.m1.22250.m1	0.1570	536.7	1641.3	0.4228	0.0391	0.0926
XP_015769420.1_aten_0.1.m1.22248.m1	0.0877	127.2	406.8	0.5968	0.0252	0.0422
XP_015769421.1_aten_0.1.m1.22235.m1	0.0593	222.1	647.9	0.0452	0.0031	0.0684
XP_015769431.1_aten_0.1.m1.3220.m1	0.1793	945.9	2537.1	0.3072	0.0371	0.1207
XP_015769434.1_aten_0.1.m1.3216.m1	0.1051	540.0	1605.0	0.1855	0.0166	0.0897
XP_015769439.1_aten_0.1.m1.3210.m1	0.3365	444.7	1598.3	0.2756	0.0713	0.2589
XP_015769445.1_aten_0.1.m1.3214.m1	0.1314	295.6	880.4	0.2881	0.0270	0.0938
XP_015769453.1_aten_0.1.m1.3204.m1	0.1240	227.6	747.4	0.7660	0.0386	0.0504
XP_015769454.1_aten_0.1.m1.3208.m1	0.2016	181.2	526.8	0.2612	0.0390	0.1492
XP_015769455.1_aten_0.1.m1.3217.m1	0.2091	519.1	1478.9	0.3599	0.0477	0.1325
XP_015769461.1_aten_0.1.m1.3222.m1	0.1433	272.8	909.2	0.0912	0.0145	0.1587
XP_015769464.1_aten_0.1.m1.3223.m1	0.2219	298.9	940.1	0.4182	0.0554	0.1324
XP_015769469.1_aten_0.1.m1.3235.m1	0.0884	182.7	360.3	0.1212	0.0086	0.0707
XP_015769470.1_aten_0.1.m1.3232.m1	0.2878	422.2	1254.8	0.3221	0.0627	0.1947
XP_015769483.1_aten_0.1.m1.5704.m1	0.1275	322.3	1090.7	0.2471	0.0251	0.1015
XP_015769485.1_aten_0.1.m1.1739.m1	50.0000	204.1	626.9	0.0070	0.4660	
XP_015769490.1_aten_0.1.m1.30024.m1	0.1834	484.6	1423.4	0.4406	0.0462	0.1049
XP_015769493.1_aten_0.1.m1.30032.m1	1.0518	63.0	243.0	0.5596	0.3017	0.5391
XP_015769494.1_aten_0.1.m1.30049.m1	0.2142	253.8	775.2	0.4567	0.0552	0.1209
XP_015769495.1_aten_0.1.m1.30054.m1	0.4770	148.3	508.7	0.6418	0.1412	0.2200
XP_015769496.1_aten_0.1.m1.30051.m1	0.3814	462.1	1682.9	0.3855	0.0946	0.2455
XP_015769501.1_aten_0.1.m1.30033.m1	0.0597	345.1	899.9	0.2180	0.0100	0.0458
XP_015769504.1_aten_0.1.m1.30031.m1	0.0711	422.7	1206.3	0.0406	0.0033	0.0819
XP_015769506.1_aten_0.1.m1.30048.m1	0.0492	387.6	788.4	0.0010	0.0000	0.0496
XP_015769507.1_aten_0.1.m1.30040.m1	0.0880	177.9	614.1	0.1285	0.0116	0.0905
XP_015769508.1_aten_0.1.m1.5690.m1	0.1046	277.9	1012.1	0.0791	0.0099	0.1257
XP_015769515.1_aten_0.1.m1.30027.m1	0.1486	271.4	841.6	0.2792	0.0304	0.1089
XP_015769519.1_aten_0.1.m1.30025.m1	0.0698	300.7	908.3	0.2527	0.0134	0.0530
XP_015769521.1_aten_0.1.m1.5698.m1	0.0924	309.3	779.7	0.3015	0.0186	0.0616
XP_015769523.1_aten_0.1.m1.30043.m1	0.1066	379.1	967.9	0.2434	0.0189	0.0778
XP_015769524.1_aten_0.1.m1.30042.m1	0.0716	312.1	830.9	0.4095	0.0171	0.0418
